timestamp,equity,available,unrealized_pnl,active_trades_count
2026-01-24T06:11:00.417176,0.00,0.00,+0.00,1
2026-01-24T06:12:08.035562,0.00,0.00,+0.00,1
2026-01-24T07:49:20.840438,0.00,0.00,+0.00,1
2026-01-25T03:08:44.727380,0.00,0.00,+0.00,1
2026-01-25T03:08:52.234888,0.00,0.00,+0.00,1
2026-01-31T20:15:49.153718,0.00,0.00,+0.00,0
2026-01-31T20:45:01.920015,0.00,0.00,+0.00,0
2026-01-31T21:14:14.575125,0.00,0.00,+0.00,0
2026-01-31T22:52:52.864871,0.00,0.00,+0.00,0
2026-02-01T04:15:16.980399,0.00,0.00,+0.00,0
